SAISON,ANNEE,CHAMPIONNAT,ADVERSAIRE,PTS,RBD,AST,STL,BLK,P,PA,3P,3PA,1P,1PA,TO,EFF,MIN
2324,2024,NCAA,UMass,14,2,1,0,0,5,7,28,3,1,1,0,12.0,21
2324,2024,NCAA,Davidson,3,1,10,0,0,1,7,29,3,0,0,2,3.0,28
2324,2024,NCAA,St Joseph's,6,4,2,1,0,1,4,30,0,4,6,2,4.0,25
2324,2024,NCAA,VCU,0,0,4,1,0,0,0,31,0,0,0,1,2.4,16
2324,2024,NCAA,Dayton,7,2,3,0,0,3,4,32,1,0,0,0,7.3,15
2324,2024,NCAA PO,Dayton,10,4,3,1,0,3,5,33,1,4,4,3,8.2,28
2324,2024,NCAA PO,St Joseph's,9,2,0,1,0,3,6,34,2,2,2,1,6.2,27
2324,2024,NCAA PO,Saint Louis,8,1,1,1,0,4,6,35,0,0,0,4,3.8,30
2324,2024,NCAA PO,Richmond,5,0,2,1,0,2,10,36,3,1,2,1,-1.4,21
2425,2024,NCAA,Stonehill,8,3,7,2,0,3,8,37,1,2,3,1,10.4,24
2425,2024,NCAA,Albany (NY),7,1,2,3,0,3,6,38,1,0,0,1,6.5,20
2425,2024,NCAA,Le Moyne,8,5,7,0,0,3,8,39,3,0,0,1,7.8,21
2425,2024,NCAA,Maine,7,7,6,0,0,2,7,40,2,3,3,0,8.0,29
2425,2024,NCAA,St John's (NY),10,2,1,1,0,3,6,41,3,3,6,3,3.5,21
2425,2024,NCAA,UMass-Lowell,11,1,5,1,0,5,7,42,2,0,0,0,12.5,21
2425,2024,NCAA,Brown,8,1,3,0,0,2,9,43,2,4,4,3,0.7,26
2425,2024,NCAA,Iowa,12,0,1,1,0,5,8,44,1,2,2,5,3.1,22
2425,2024,NCAA,Idaho State,6,1,4,1,0,1,6,45,4,3,4,2,3.1,24
2425,2024,NCAA,Providence,0,2,1,0,0,0,4,46,2,0,0,1,-3.3,15
2425,2024,NCAA,Harvard,5,1,0,1,0,2,4,47,1,1,1,5,-1.1,18
2425,2024,NCAA,Princeton,2,2,1,0,0,0,3,48,0,2,2,1,0.6,13
2425,2024,NCAA,Saint Francis (PA),0,4,7,0,0,0,4,49,1,0,0,1,1.9,18
2425,2024,NCAA,Saint Louis,10,3,5,0,0,4,6,50,1,2,2,2,8.6,20
2425,2025,NCAA,St Bonaventure,7,2,2,1,0,3,7,51,2,0,0,0,5.5,21
2425,2025,NCAA,Davidson,13,1,3,3,0,5,11,52,6,1,2,3,7.7,26
2425,2025,NCAA,George Mason,12,3,3,3,0,3,6,53,2,5,6,3,11.2,29
2425,2025,NCAA,VCU,13,5,4,0,0,3,8,54,3,6,8,3,7.9,29
2425,2025,NCAA,Duquesne,19,5,5,1,0,6,14,55,5,5,8,2,13.6,31
2425,2025,NCAA,UMass,6,2,5,2,0,2,6,56,0,2,2,2,6.7,25
2425,2025,NCAA,Duquesne,3,0,0,0,0,1,1,57,1,0,0,1,1.7,4
