SAISON,ANNEE,CHAMPIONNAT,ADVERSAIRE,PTS,RBD,AST,STL,BLK,P,PA,3P,3PA,1P,1PA,TO,EFF,MIN,
2425,2024,LFB,Tarbes,12,0,6,1,0,4,9,2,2,2,3,4,8,31
2425,2024,LFB,Basket Landes,20,1,7,1,0,7,11,0,0,6,7,2,22,31
2425,2024,ERC,Constanta,11,0,6,2,1,4,7,1,3,2,4,3,12,29
2425,2024,LFB,Chartres,15,1,6,3,0,4,10,3,5,4,8,4,11,34
2425,2024,ERC,Constanta,20,5,5,4,0,9,17,0,3,2,2,3,24,33
2425,2024,LFB,Lattes,20,1,7,1,1,5,13,2,6,4,6,2,12,38
2425,2024,LFB,Landerneau,20,1,7,1,0,7,13,3,4,1,2,3,16,29
2425,2024,ERC,Real Madrid,8,4,1,1,0,2,7,2,3,2,3,2,6,23
2425,2024,LFB,ASVEL,20,1,7,0,0,6,11,1,2,4,4,2,21,35
2425,2024,ERC,Real Madrid,28,3,4,1,0,9,18,2,7,8,10,3,22,51
2425,2024,CDF,Bourges,2,1,4,1,0,0,4,0,2,2,2,5,-2,23
2425,2024,LFB,Angers,17,2,4,1,0,7,15,1,3,2,2,6,12,35
2425,2024,LFB,Charleville,15,3,7,3,0,5,14,0,2,5,8,3,11,32
